Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2004,unprovoked,diving,12.0,1,uninjured,NSW,-34.56666667,150.8666667,whaler shark,3.0,other: uninjured,male,,1900-01-01 10:30:00,Carcharhinidae
2004,unprovoked,swimming,3.0,1,injured,NSW,-30.56666667,152.9833333,wobbegong,1.3408602150537634,calf,male,8.0,,Orectolobidae
2004,unprovoked,swimming,15.0,1,injured,NSW,-30.63333333,153.0166667,wobbegong,1.3408602150537634,"""torso, pelvic region""",female,,,Orectolobidae
2004,provoked,spearfishing,25.0,1,injured,WA,-33.13333333,115.6833333,white shark,4.5,leg,male,46.0,1900-01-01 11:00:00,Carcharodon carcharias
2004,provoked,diving,10.0,2,uninjured,VIC,-38.36666667,144.75,white shark,4.0,other: uninjured,male,,,Carcharodon carcharias
2004,provoked,spearfishing,10.0,2,injured,NSW,-33.1,151.65,blind shark,0.6,foot,male,22.0,,Brachaelurus waddi
2004,unprovoked,snorkelling,22.0,2,injured,WA,-31.85,115.75,wobbegong,0.4,calf,female,7.0,1900-01-01 14:00:00,Orectolobidae
2004,unprovoked,snorkelling,22.0,2,injured,WA,-31.85,115.75,wobbegong,0.4,leg,male,38.0,1900-01-01 14:00:00,Orectolobidae
2004,provoked,spearfishing,6.0,3,injured,WA,-30.25,115.0166667,bronze whaler shark,1.5,leg,male,47.0,,Carcharhinus brachyurus
2004,unprovoked,diving,26.0,4,injured,NSW,-32.2,152.55,wobbegong,1.2,"""arm, hand""",male,,,Orectolobidae
2004,unprovoked,snorkelling,20.0,4,injured,WA,-33.96666667,114.9833333,wobbegong,1.0,thigh,male,,,Orectolobidae
2004,provoked,diving,26.0,6,uninjured,WA,-31.91666667,115.75,white shark,5.0,other: uninjured,male,,,Carcharodon carcharias
2004,unprovoked,boarding,10.0,6,injured,WA,-33.33333333,115.6333333,white shark,3.0,foot,male,17.0,1900-01-01 16:30:00,Carcharodon carcharias
2004,unprovoked,diving,11.0,7,injured,WA,-31.98333333,115.5333333,wobbegong,1.0,calf,male,33.0,1900-01-01 14:08:00,Orectolobidae
2004,unprovoked,boarding,10.0,7,fatal,WA,-33.85,114.9833333,white shark,5.0,"""leg, pelvic region""",male,29.0,1900-01-01 14:00:00,Carcharodon carcharias
2004,provoked,spearfishing,4.0,8,injured,NSW,-28.63333333,153.6166667,grey nurse shark,2.4,foot,male,42.0,1900-01-01 13:30:00,Carcharius taurus
2004,unprovoked,boarding,28.0,8,uninjured,VIC,-38.46666667,145.0166667,white shark,2.0,other: uninjured,male,33.0,1900-01-01 17:10:00,Carcharodon carcharias
