Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2011,provoked,boarding,7.0,12,injured,NSW,-33.93333333,151.25,wobbegong,1.3408602150537634,foot,male,14.0,1900-01-01 19:30:00,Orectolobidae
2011,unprovoked,boarding,11.0,12,injured,NSW,-29.48333333,153.35,white shark,2.5,thigh,male,50.0,1900-01-01 06:00:00,Carcharodon carcharias
2012,unprovoked,boarding,3.0,1,injured,NSW,-33.45,151.4333333,white shark,2.2,arm,male,28.0,1900-01-01 19:45:00,Carcharodon carcharias
2012,provoked,spearfishing,2.0,1,uninjured,NSW,-28.16666667,153.55,tiger shark,3.5,other: uninjured,male,,,Galeocerdo cuvier
2012,unprovoked,boarding,18.0,1,injured,NSW,-33,151.7166667,white shark,2.6,thigh,male,44.0,1900-01-01 16:40:00,Carcharodon carcharias
2012,unprovoked,snorkelling,19.0,1,injured,WA,-23.13333333,113.7666667,tiger shark,3.0,arm,male,26.0,,Galeocerdo cuvier
2012,unprovoked,boarding,3.0,2,uninjured,NSW,-31.98333333,152.5666667,white shark,3.375,other: uninjured,male,,,Carcharodon carcharias
2012,provoked,fishing,25.0,2,injured,NSW,-32.6,152.3166667,wobbegong,1.3408602150537634,foot,male,,1900-01-01 16:00:00,Orectolobidae
2012,unprovoked,boarding,6.0,2,uninjured,QLD,-26.75,153.1333333,whaler shark,2.2,other: uninjured,male,29.0,,Carcharhinidae
2012,provoked,boarding,20.0,3,injured,QLD,-28.05,153.4333333,bull shark,2.4013698630136986,foot,male,20.0,1900-01-01 17:10:00,Carcharhinus leucas
2012,unprovoked,unmotorised boating,15.0,3,uninjured,NSW,-33.55,151.3166667,unknown species,1.9428571428571428,other: uninjured,male,52.0,,Unknown species
2012,unprovoked,diving,31.0,3,fatal,WA,-33.46666667,115.5166667,white shark,4.0,torso,male,32.0,1900-01-01 09:30:00,Carcharodon carcharias
2012,unprovoked,unmotorised boating,11.0,4,injured,SA,-35.18333333,136.85,white shark,6.0,thigh,male,27.0,,Carcharodon carcharias
2012,provoked,diving,17.0,5,injured,NSW,-32.21666667,152.6,wobbegong,1.8,"""arm, hand""",male,57.0,1900-01-01 10:30:00,Orectolobidae
2012,unprovoked,unmotorised boating,27.0,5,uninjured,NSW,-33,151.7,white shark,2.0,other: uninjured,male,30.0,1900-01-01 14:30:00,Carcharodon carcharias
2012,unprovoked,boarding,12.0,6,injured,VIC,-38.61666667,142.9833333,white shark,1.5,leg,male,42.0,,Carcharodon carcharias
2012,unprovoked,boarding,22.0,6,injured,TAS,-43.51666667,146.2333333,white shark,5.3,leg,male,,1900-01-01 09:15:00,Carcharodon carcharias
2012,unprovoked,unmotorised boating,20.0,6,uninjured,WA,-31.78333333,115.7166667,white shark,3.5,other: uninjured,male,61.0,1900-01-01 07:05:00,Carcharodon carcharias
2012,unprovoked,boarding,31.0,7,injured,SA,-32.76666667,134.2,white shark,3.375,"""arm, shoulder""",male,47.0,,Carcharodon carcharias
2012,unprovoked,boarding,14.0,7,fatal,WA,-30.83333333,115.2666667,white shark,3.6,other: body not recovered,male,24.0,1900-01-01 09:00:00,Carcharodon carcharias
2012,unprovoked,boarding,28.0,8,injured,WA,-24.38333333,113.3833333,tiger shark,3.5,torso,male,34.0,1900-01-01 15:25:00,Galeocerdo cuvier
2012,unprovoked,boarding,3.0,10,uninjured,WA,-31.76666667,115.7166667,white shark,1.3,other: uninjured,male,11.0,1900-01-01 12:30:00,Carcharodon carcharias
2012,unprovoked,boarding,28.0,12,injured,NSW,-31.73333333,152.7833333,bull shark,3.0,thigh,male,29.0,1900-01-01 10:45:00,Carcharhinus leucas
2012,provoked,spearfishing,2.0,12,injured,NSW,-30.86666667,153.0333333,grey nurse shark,1.8666666666666665,leg,male,31.0,1900-01-01 16:30:00,Carcharius taurus
2012,unprovoked,boarding,30.0,12,uninjured,NSW,-33.75,151.3,white shark,2.5,other: uninjured,male,,1900-01-01 12:45:00,Carcharodon carcharias
2013,provoked,spearfishing,5.0,1,injured,WA,-20.35,116.8166667,whaler shark,2.2,leg,male,,1900-01-01 10:00:00,Carcharhinidae
2013,unprovoked,boarding,25.0,1,injured,QLD,-26.36666667,153.0833333,tiger shark,3.166265060240964,"""torso, shoulder""",male,,,Galeocerdo cuvier
2013,provoked,spearfishing,10.0,3,injured,WA,-28.8,114.6,bronze whaler shark,2.5,"""arm, hand""",male,28.0,1900-01-01 09:00:00,Carcharhinus brachyurus
2013,provoked,swimming,22.0,4,injured,NSW,-29.46666667,153.35,wobbegong,1.3408602150537634,leg,female,,,Orectolobidae
2013,unprovoked,boarding,24.0,5,uninjured,WA,-32.4,115.7333333,white shark,3.375,other: uninjured,male,,1900-01-01 17:00:00,Carcharodon carcharias
2013,provoked,swimming,29.0,5,injured,NSW,-28.63333333,153.6,wobbegong,1.0,foot,male,64.5,1900-01-01 06:10:00,Orectolobidae
2013,unprovoked,boarding,6.0,6,uninjured,NSW,-35.06666667,150.7833333,white shark,1.8,other: uninjured,male,,1900-01-01 16:00:00,Carcharodon carcharias
2013,unprovoked,swimming,1.0,7,injured,VIC,-38.46666667,145.0166667,white shark,1.7,"""arm, hand""",male,29.0,1900-01-01 05:30:00,Carcharodon carcharias
2013,provoked,boarding,24.0,10,injured,NSW,-33.71666667,151.3,wobbegong,1.3408602150537634,foot,male,,1900-01-01 18:15:00,Orectolobidae
2013,unprovoked,snorkelling,28.0,10,injured,WA,-21.95,114.1166667,grey reef shark,1.95,arm,female,,,Carcharhinus amblyrhynchos
2013,provoked,diving,8.0,10,injured,WA,-33.95,123.9166667,white shark,5.0,"""head, shoulder""",male,55.0,1900-01-01 10:30:00,Carcharodon carcharias
2013,unprovoked,boarding,30.0,11,fatal,NSW,-30.26666667,153.1333333,tiger shark,3.0,leg,male,19.0,1900-01-01 12:30:00,Galeocerdo cuvier
2013,unprovoked,boarding,23.0,11,fatal,WA,-33.85,114.9666667,white shark,3.0,"""arm, torso, leg""",male,35.0,1900-01-01 09:00:00,Carcharodon carcharias
2013,unprovoked,diving,14.0,12,injured,QLD,-28.1,153.4666667,wobbegong,1.5,leg,female,33.0,1900-01-01 12:30:00,Orectolobidae
2013,unprovoked,boarding,5.0,12,injured,NSW,-31.45,152.9166667,wobbegong,1.7,leg,male,26.0,1900-01-01 18:15:00,Orectolobidae
2014,provoked,spearfishing,8.0,2,fatal,SA,-35.13333333,137.7,white shark,3.375,other: body not recovered,male,28.0,1900-01-01 12:00:00,Carcharodon carcharias
2014,provoked,spearfishing,18.0,2,uninjured,WA,-32,115.55,white shark,4.0,other: uninjured,male,64.5,1900-01-01 13:45:00,Carcharodon carcharias
2014,unprovoked,boarding,18.0,3,uninjured,VIC,-38.36666667,144.2666667,white shark,1.4,other: uninjured,male,42.0,,Carcharodon carcharias
2014,provoked,swimming,12.0,3,injured,NSW,-31.46666667,152.9166667,wobbegong,1.8,foot,male,40.0,1900-01-01 18:00:00,Orectolobidae
2014,unprovoked,swimming,3.0,4,fatal,NSW,-36.71666667,149.9833333,white shark,3.5,other: body not recovered,female,63.0,1900-01-01 08:20:00,Carcharodon carcharias
2014,provoked,spearfishing,24.0,4,injured,WA,-23.13333333,113.75,whaler shark,2.2,"""arm, hand""",male,,1900-01-01 15:00:00,Carcharhinidae
2014,unprovoked,boarding,14.0,5,uninjured,SA,-33.63333333,134.8666667,white shark,4.6,other: uninjured,male,35.0,1900-01-01 09:30:00,Carcharodon carcharias
2014,unprovoked,swimming,25.0,5,injured,QLD,-27.98333333,153.4166667,bull shark,1.3,thigh,female,29.0,1900-01-01 21:30:00,Carcharhinus leucas
2014,unprovoked,boarding,9.0,6,injured,SA,-35.63087083,138.4666667,white shark,1.5,torso,male,39.0,1900-01-01 09:45:00,Carcharodon carcharias
2014,provoked,boarding,1.0,6,injured,NSW,-34.83333333,150.75,wobbegong,1.3408602150537634,foot,male,,1900-01-01 07:00:00,Orectolobidae
2014,unprovoked,boarding,19.0,6,injured,SA,-35.5,138.7166667,white shark,2.8,leg,male,15.0,1900-01-01 17:00:00,Carcharodon carcharias
2014,unprovoked,boarding,19.0,6,injured,SA,-35.5,138.7166667,white shark,2.8,Unknown,male,,1900-01-01 17:00:00,Carcharodon carcharias
2014,provoked,spearfishing,16.0,8,injured,WA,-23.78333333,113.5,whaler shark,2.2,head,male,31.0,,Carcharhinidae
2014,unprovoked,snorkelling,9.0,9,fatal,NSW,-28.63333333,153.6,white shark,3.7,thigh,male,50.0,1900-01-01 10:30:00,Carcharodon carcharias
2014,unprovoked,swimming,26.0,9,injured,NSW,-31.41666667,152.9166667,wobbegong,1.3408602150537634,"""arm, hand""",female,13.0,,Orectolobidae
2014,provoked,boarding,17.0,10,injured,NSW,-33.45,151.4333333,wobbegong,1.0,foot,female,13.0,1900-01-01 06:30:00,Orectolobidae
2014,provoked,boarding,29.0,10,injured,NSW,-31.98333333,152.5666667,wobbegong,1.3408602150537634,foot,male,20.0,1900-01-01 18:00:00,Orectolobidae
2014,unprovoked,boarding,2.0,10,injured,WA,-33.83333333,121.9166667,white shark,3.5,"""arm, leg""",male,23.0,1900-01-01 11:00:00,Carcharodon carcharias
2014,provoked,swimming,10.0,11,injured,NSW,-30.2,159.15,wobbegong,1.3408602150537634,foot,male,,1900-01-01 06:30:00,Orectolobidae
2014,provoked,snorkelling,10.0,11,injured,NSW,-35.73333333,150.2,wobbegong,1.0,thigh,male,,,Orectolobidae
2014,unprovoked,swimming,29.0,11,injured,NSW,-33.75,151.3,wobbegong,1.0,"""thigh, right""",female,,1900-01-01 05:30:00,Orectolobidae
2014,unprovoked,boarding,29.0,11,injured,WA,-32.6,115.6166667,bronze whaler shark,2.3,leg,male,13.0,1900-01-01 06:25:00,Carcharhinus brachyurus
2014,unprovoked,boarding,29.0,12,injured,NSW,-35.1338,150.686,unknown,,"""leg, ankle""",male,,1900-01-01 07:15:00,unknown
2014,provoked,spearfishing,29.0,12,fatal,WA,-34.88003124,118.404958,white shark,5.0,leg,male,17.0,1900-01-01 12:20:00,Carcharodon carcharias
2014,provoked,spearfishing,15.0,12,fatal,QLD,-16.2,145.75,tiger shark,3.3,"""arm, leg""",male,18.0,1900-01-01 11:00:00,Galeocerdo cuvier
2015,unprovoked,boarding,19.0,1,uninjured,NSW,-28.63333333,153.6166667,white shark,3.375,other: uninjured,female,,,Carcharodon carcharias
2015,provoked,other: standing in water,5.0,1,injured,NSW,-32.68333333,152.0333333,wobbegong,1.3408602150537634,foot,male,,1900-01-01 17:00:00,Orectolobidae
2015,unprovoked,unmotorised boating,30.0,1,uninjured,QLD,-27.63333333,153.45,bull shark,1.3,other: uninjured,male,57.0,1900-01-01 05:00:00,Carcharhinus leucas
2015,unprovoked,boarding,24.0,1,uninjured,NSW,-28.83333333,153.6,white shark,3.375,other: uninjured,male,36.0,1900-01-01 11:00:00,Carcharodon carcharias
2015,provoked,spearfishing,16.0,1,injured,NSW,-35.33333333,150.4666667,bronze whaler shark,2.5,hand,male,17.0,,Carcharhinus brachyurus
2015,unprovoked,boarding,8.0,2,injured,NSW,-28.88333333,153.5666667,white shark,3.375,"""torso, pelvic region""",male,35.0,1900-01-01 06:00:00,Carcharodon carcharias
2015,unprovoked,boarding,9.0,2,fatal,NSW,-28.85,153.5833333,white shark,3.5,leg,male,41.0,,Carcharodon carcharias
2015,unprovoked,swimming,6.0,2,injured,NSW,-32.95,151.75,wobbegong,1.3408602150537634,leg,male,,,Orectolobidae
2015,provoked,swimming,24.0,3,injured,NSW,-31.51666667,159.05,galapagos shark,1.3,leg,female,43.0,1900-01-01 12:00:00,Carcharhinus galapagensis
2015,provoked,swimming,9.0,4,injured,NSW,-31.51666667,159.05,galapagos shark,1.5,leg,male,8.0,1900-01-01 16:30:00,Carcharhinus galapagensis
2015,provoked,boarding,11.0,4,injured,NSW,-35.8,150.2166667,wobbegong,1.3408602150537634,foot,male,,1900-01-01 06:30:00,Orectolobidae
2015,unprovoked,boarding,25.0,4,injured,SA,-34.86666667,135.7666667,white shark,6.0,leg,male,26.0,1900-01-01 09:45:00,Carcharodon carcharias
2015,unprovoked,boarding,3.0,5,injured,NSW,-32.01666667,152.5333333,white shark,3.375,"""arm, hand""",male,46.0,1900-01-01 14:30:00,Carcharodon carcharias
2015,unprovoked,boarding,24.0,6,injured,WA,-35.01666667,117.3333333,white shark,3.375,"""head, hand""",female,37.0,1900-01-01 09:30:00,Carcharodon carcharias
2015,provoked,swimming,26.0,6,injured,WA,-31.98333333,115.5333333,wobbegong,1.0,arm,male,19.0,,Orectolobidae
2015,unprovoked,boarding,24.0,6,uninjured,NSW,-28.63333333,153.6,white shark,3.0,other: uninjured,male,64.5,1900-01-01 11:15:00,Carcharodon carcharias
2015,provoked,spearfishing,1.0,6,injured,NSW,-35.65,150.2833333,tiger shark,3.0,foot,male,21.0,1900-01-01 17:00:00,Galeocerdo cuvier
2015,unprovoked,boarding,21.0,7,uninjured,QLD,-28.1,153.465,white shark,2.0,other: uninjured,male,,1900-01-01 10:00:00,Carcharodon carcharias
2015,provoked,diving,25.0,7,fatal,TAS,-42.63333333,147.9833333,white shark,4.3,"""torso, pelvic region""",male,47.0,1900-01-01 08:00:00,Carcharodon carcharias
2015,provoked,diving,24.0,7,uninjured,TAS,-42.63333333,147.9833333,white shark,4.3,other: uninjured,male,,1900-01-01 08:00:00,Carcharodon carcharias
2015,unprovoked,boarding,31.0,7,injured,NSW,-29.1,153.4333333,white shark,3.0,"""leg, hand""",male,51.0,1900-01-01 06:00:00,Carcharodon carcharias
2015,unprovoked,boarding,3.0,7,uninjured,NSW,-28.78333333,153.5833333,white shark,3.375,other: uninjured,male,51.0,1900-01-01 09:00:00,Carcharodon carcharias
2015,unprovoked,boarding,1.0,7,injured,NSW,-29.43333333,153.3666667,white shark,3.375,"""arm, hand""",male,,,Carcharodon carcharias
2015,unprovoked,boarding,23.0,7,injured,VIC,-38.25,141.7833333,white shark,1.8,"""arm, hand""",male,40.0,,Carcharodon carcharias
2015,unprovoked,boarding,2.0,7,injured,NSW,-28.86666667,153.5833333,white shark,3.5,leg,male,32.0,1900-01-01 10:15:00,Carcharodon carcharias
2015,unprovoked,boarding,22.0,8,injured,NSW,-31.46666667,152.9166667,white shark,2.7,thigh,male,38.0,1900-01-01 17:00:00,Carcharodon carcharias
2015,unprovoked,boarding,16.0,8,uninjured,QLD,-18.83333333,147.6333333,tiger shark,3.166265060240964,other: uninjured,female,,,Galeocerdo cuvier
2015,provoked,boarding,8.0,9,injured,NSW,-33.05,152.5333333,unknown species,2.0,"""arm, hand""",male,42.0,1900-01-01 06:15:00,Unknown species
2015,unprovoked,boarding,4.0,9,injured,NSW,-32.06666667,152.5333333,white shark,2.5,foot,male,64.5,1900-01-01 12:00:00,Carcharodon carcharias
2015,unprovoked,snorkelling,26.0,9,injured,QLD,-17.21666667,146.0833333,unknown species,0.9,leg,female,7.0,,Unknown species
2015,provoked,spearfishing,30.0,10,injured,WA,-34.88003124,118.404958,white shark,3.375,"""arm, torso, hand, shoulder """,male,50.0,1900-01-01 11:30:00,Carcharodon carcharias
2015,unprovoked,boarding,7.0,10,injured,WA,-32.6,115.6166667,grey nurse shark,1.8666666666666665,foot,male,18.0,1900-01-01 16:50:00,Carcharius taurus
2015,unprovoked,boarding,10.0,11,injured,NSW,-28.86666667,153.5833333,bull shark,3.0,thigh,male,,1900-01-01 18:15:00,Carcharhinus leucas
2016,provoked,boarding,9.0,1,injured,QLD,-26.8,153.1333333,wobbegong,1.2,foot,male,,,Orectolobidae
2016,unprovoked,swimming,5.0,1,injured,QLD,-23.43333333,151.9,blacktip reef shark,1.5999999999999999,calf,male,11.0,,Carcharhinus melanopterus
2016,provoked,spearfishing,2.0,1,injured,QLD,-23.15,150.9,tiger shark,3.0,"""arm, leg""",male,31.0,1900-01-01 12:00:00,Galeocerdo cuvier
2016,unprovoked,boarding,4.0,2,uninjured,NSW,-34,151.65,white shark,2.6,other: uninjured,male,,,Carcharodon carcharias
2016,provoked,spearfishing,21.0,2,injured,NSW,-23.56666667,151.3166667,wobbegong,1.3408602150537634,arm,male,,,Orectolobidae
2016,unprovoked,boarding,11.0,2,uninjured,TAS,-40.91666667,144.6166667,white shark,3.375,other: uninjured,male,,1900-01-01 12:30:00,Carcharodon carcharias
2016,unprovoked,boarding,11.0,3,uninjured,NSW,-31.18333333,152.9666667,white shark,3.375,Unknown,male,,,Carcharodon carcharias
2016,provoked,fishing,2.0,3,injured,SA,-37.03333333,139.7333333,bronze whaler shark,2.5208333333333335,Unknown,male,,1900-01-01 23:30:00,Carcharhinus brachyurus
2016,unprovoked,boarding,28.0,3,uninjured,NSW,-34.03333333,151.15,white shark,3.375,other: uninjured,male,,1900-01-01 11:00:00,Carcharodon carcharias
2016,unprovoked,boarding,30.0,3,injured,NSW,-34.65,150.85,white shark,3.375,leg,male,22.0,1900-01-01 19:00:00,Carcharodon carcharias
2016,provoked,swimming,20.0,4,injured,NSW,-28.63333333,153.6,wobbegong,0.8,foot,male,12.0,1900-01-01 10:30:00,Orectolobidae
2016,unprovoked,boarding,31.0,5,fatal,WA,-32.58333333,115.6333333,white shark,3.375,leg,male,29.0,,Carcharodon carcharias
2016,provoked,spearfishing,31.0,5,uninjured,NSW,-28.25276667,153.5921833,bronze whaler shark,2.5,other: uninjured,male,,1900-01-01 17:30:00,Carcharhinus brachyurus
2016,unprovoked,diving,5.0,6,fatal,WA,-31.66666667,115.6666667,white shark,5.0,Unknown,female,60.0,,Carcharodon carcharias
2016,provoked,spearfishing,15.0,6,injured,WA,-23.02411667,113.1294,grey reef shark,1.8,other: uninjured,male,19.0,,Carcharhinus amblyrhynchos
2016,unprovoked,boarding,26.0,6,uninjured,NSW,-34.6215,150.8568,unknown,1.9428571428571428,other: uninjured,male,,1900-01-01 16:43:00,Unknown species
2016,provoked,spearfishing,31.0,6,uninjured,NSW,-28.2646,153.5777,bronze whaler shark,2.5208333333333335,other: uninjured,male,23.0,1900-01-01 16:30:00,Carcharhinus brachyurus
2016,provoked,spearfishing,19.0,7,uninjured,NSW,-32.717,152.1049,unknown,1.9428571428571428,other: uninjured,male,,,Unknown species
2016,unprovoked,boarding,26.0,7,uninjured,NSW,-28.8377,153.6044,white shark,3.0,other: uninjured,male,18.0,1900-01-01 12:00:00,Carcharodon carcharias
2016,unprovoked,boarding,29.0,7,uninjured,NSW,-28.3037,153.5742,white shark,3.0,other: uninjured,male,,1900-01-01 07:40:00,Carcharodon carcharias
2016,unprovoked,boarding,16.0,9,uninjured,VIC,-38.06115,144.04745,white shark,3.375,Unknown,male,,,Carcharodon carcharias
2016,unprovoked,boarding,26.0,9,injured,NSW,-28.86666667,153.5833333,white shark,3.5,leg,male,,,Carcharodon carcharias
2016,unprovoked,boarding,5.0,9,uninjured,WA,-33.11656667,114.1649,white shark,3.375,other: uninjured,male,,,Carcharodon carcharias
2016,unprovoked,boarding,15.0,10,injured,QLD,-27.335,153.235,white shark,4.0,"""leg, torso""",male,,1900-01-01 18:00:00,Carcharodon carcharias
2016,unprovoked,boarding,12.0,10,injured,NSW,-28.83333333,153.6,white shark,3.5,leg,male,20.0,1900-01-01 10:30:00,Carcharodon carcharias
2016,unprovoked,boarding,24.0,10,injured,NSW,-33.08945,151.0587667,white shark,2.9,leg,male,36.0,,Carcharodon carcharias
2016,provoked,swimming,4.0,10,injured,QLD,-20.23333333,148.95,lemon shark,1.0,arm,male,10.0,,Negaprion brevirostris
2016,unprovoked,boarding,1.0,12,injured,NSW,-32.30595,152.52275,white shark,4.0,"""arm, foot""",male,64.5,1900-01-01 09:00:00,Carcharodon carcharias
2016,provoked,spearfishing,10.0,12,uninjured,QLD,-12.45183333,143.3444167,bull shark,2.4013698630136986,other: uninjured,male,35.0,,Carcharhinus leucas
2016,unprovoked,snorkelling,24.0,12,injured,WA,-21.15741667,114.0218833,whaler shark,2.2,"""torso, pelvic region""",female,,,Carcharhinidae
2016,unprovoked,snorkelling,15.0,12,injured,WA,-31.14531667,115.1265,unknown species,1.9428571428571428,foot,male,61.0,,Unknown species
2017,unprovoked,snorkelling,21.0,1,injured,QLD,-9.863916667,144.7908167,whaler shark,4.0,"""hand, arm, torso""",male,55.0,,Carcharhinidae
2017,provoked,swimming,3.0,1,injured,NSW,-36.88666667,149.9131833,wobbegong,1.3408602150537634,foot,male,19.0,,Orectolobidae
2017,unprovoked,swimming,13.0,1,injured,QLD,-21.96676667,149.4843833,unknown species,1.9428571428571428,hand,male,57.0,1900-01-01 13:30:00,Unknown species
2017,provoked,spearfishing,8.0,1,uninjured,QLD,-10.65406667,142.5072333,whaler shark,2.8,other: uninjured,male,,,Carcharhinidae
2017,unprovoked,boarding,24.0,2,uninjured,WA,-32.567,115.65,unknown species,1.9428571428571428,Unknown,male,,1900-01-01 07:30:00,Unknown species
2017,unprovoked,snorkelling,18.0,2,injured,QLD,-18.24948333,146.1839333,tiger shark,3.166265060240964,leg,male,25.0,,Galeocerdo cuvier
2017,unprovoked,snorkelling,25.0,2,injured,WA,-23.2411667,113.1294,bull shark,2.4013698630136986,hand,female,,,Carcharhinus leucas
2017,unprovoked,boarding,19.0,3,injured,NSW,-34.60465,150.8677833,unknown species,1.9428571428571428,"""torso, pelvic region""",male,30.0,1900-01-01 18:30:00,Unknown species
2017,unprovoked,unmotorised boating,2.0,4,uninjured,QLD,-27.05206667,153.05745,unknown species,1.9428571428571428,other: uninjured,male,,1900-01-01 15:00:00,Unknown species
2017,provoked,boarding,2.0,4,injured,NSW,-32.7667,152.1127,grey nurse shark,1.8666666666666665,left foot,male,46.0,1900-01-01 17:00:00,Carcharius taurus
2017,unprovoked,boarding,17.0,4,fatal,WA,-33.83250092,121.9968696,white shark,3.375,leg,female,17.0,1900-01-01 16:00:00,Carcharodon carcharias
2017,unprovoked,boarding,4.0,6,uninjured,NSW,-33.0775,151.0725,white shark,2.5,other: uninjured,male,,1900-01-01 17:00:00,Carcharodon carcharias
2017,unprovoked,boarding,11.0,6,uninjured,WA,-33.3146,115.635,white shark,4.0,Unknown,unknown,,,Carcharodon carcharias
2017,unprovoked,boarding,29.0,8,injured,VIC,-38.5367,143.9715,white shark,3.0,pelvic region,male,,,Carcharodon carcharias
2017,unprovoked,boarding,10.0,9,injured,NSW,-29.59387,153.3322,white shark,3.375,Unknown,unknown,,,Carcharodon carcharias
2017,unprovoked,boarding,25.0,9,uninjured,WA,-33.8585,114.9843,white shark,3.5,Unknown,female,,,Carcharodon carcharias
2017,unprovoked,swimming,10.0,9,injured,WA,-20.61367,117.1863,whaler shark,1.0,leg,male,,1900-01-01 15:00:00,Carcharhinidae
2017,unprovoked,unmotorised boating,22.0,10,uninjured,SA,-35.448,138.318,white shark,4.0,Unknown,female,,,Carcharodon carcharias
2017,provoked,boarding,28.0,10,injured,NSW,-32.798333,152.079167,wobbegong,1.3408602150537634,foot,male,31.0,1900-01-01 09:00:00,Orectolobidae
2017,unprovoked,boarding,13.0,11,injured,NSW,-33.465,151.435,white shark,2.6,arm,male,25.0,1900-01-01 16:00:00,Carcharodon carcharias
2017,unprovoked,boarding,11.0,12,uninjured,NSW,-32.7876,152.08002,grey nurse shark,1.2,Unknown,male,,1900-01-01 05:40:00,Carcharius taurus
2018,provoked,swimming,28.0,1,injured,WA,-16.4683,123.5353,bull shark,2.4013698630136986,Unknown,male,,,Carcharhinus leucas
2018,unprovoked,snorkelling,13.0,1,injured,NSW,-34.425072,150.893143,white shark,3.5,Unknown,female,28.0,1900-01-01 09:00:00,Carcharodon carcharias
2018,unprovoked,boarding,5.0,1,injured,WA,-33.8416,115.0221,wobbegong,1.3408602150537634,foot,male,,1900-01-01 18:00:00,Orectolobidae
2018,provoked,snorkelling,14.0,1,injured,QLD,-14.668,145.4638,grey reef shark,2.0,Unknown,male,,,Carcharhinus amblyrhynchos
2018,provoked,spearfishing,1.0,2,uninjured,WA,-32.5361,115.7424,whaler shark,2.2,Unknown,male,14.0,,Carcharhinidae
2018,unprovoked,other: standing in water,15.0,2,injured,NSW,-34.67,150.84,whaler shark,2.0,"""leg, foot""",male,35.0,1900-01-01 16:20:00,Carcharhinidae
2018,unprovoked,swimming,5.0,2,injured,WA,-31.7789,115.7326,wobbegong,0.4,calf,female,17.0,,Orectolobidae
2018,provoked,snorkelling,15.0,2,injured,WA,-33.5638,115.0629,wobbegong,1.3408602150537634,leg,male,,,Orectolobidae
2018,unprovoked,swimming,23.0,2,injured,NSW,-33.993,151.1753,white shark,3.0,leg,female,55.0,1900-01-01 19:00:00,Carcharodon carcharias
2018,provoked,snorkelling,4.0,3,uninjured,WA,-34.2256,115.0609,tiger shark,2.0,other: uninjured,male,,,Galeocerdo cuvier
2018,unprovoked,boarding,9.0,3,injured,VIC,-38.37,144.28,bronze whaler shark,2.0,foot,male,18.0,,Carcharhinus brachyurus
2018,unprovoked,boarding,16.0,4,injured,WA,-33.8416,115.0221,white shark,3.0,thigh,male,41.0,1900-01-01 14:40:00,Carcharodon carcharias
2018,unprovoked,boarding,16.0,4,injured,WA,-33.8416,115.0221,white shark,4.0,calf,male,37.0,,Carcharodon carcharias
2018,unprovoked,boarding,25.0,4,uninjured,WA,-33.9825,114.9922,white shark,3.0,other: uninjured,male,60.0,1900-01-01 09:30:00,Carcharodon carcharias
2018,unprovoked,boarding,11.0,5,uninjured,WA,-33.8416,115.0221,white shark,4.0,other: uninjured,female,,1900-01-01 11:30:00,Carcharodon carcharias
2018,unprovoked,boarding,8.0,6,injured,NSW,-30.296,153.11,wobbegong,1.3408602150537634,"""calf, foot""",male,19.0,,Orectolobidae
2018,unprovoked,boarding,3.0,6,uninjured,NSW,-28.84,153.601,white shark,3.375,other: uninjured,male,37.0,,Carcharodon carcharias
2018,unprovoked,swimming,19.0,9,injured,QLD,-20.25,148.9333,tiger shark,3.166265060240964,Unknown,female,,,Galeocerdo cuvier
2018,unprovoked,swimming,20.0,9,injured,QLD,-20.25,148.9333,tiger shark,3.166265060240964,Unknown,female,,,Galeocerdo cuvier
2018,unprovoked,unknown,28.0,9,injured,NT,-13.97,136.5933,bull shark,2.4013698630136986,Unknown,male,17.0,,Carcharhinus leucas
2018,provoked,swimming,20.0,10,injured,NSW,-32.7667,152.0833,wobbegong,1.3408602150537634,Unknown,male,,,Orectolobidae
2018,unprovoked,boarding,5.0,11,fatal,QLD,-20.25,148.9333,unknown species,1.9428571428571428,"""leg, arm""",male,,,Unknown species
2018,unprovoked,boarding,28.0,11,injured,NSW,-33.37,151.4859,wobbegong,1.3408602150537634,foot,male,28.0,1900-01-01 16:40:00,Orectolobidae
2018,unprovoked,boarding,6.0,11,injured,NSW,-28.8632,153.5944,white shark,2.6,thigh,male,43.0,1900-01-01 06:45:00,Carcharodon carcharias
2018,unprovoked,unknown,15.0,11,uninjured,QLD,-26.791,153.139,tiger shark,3.166265060240964,Unknown,unknown,,,Galeocerdo cuvier
2018,unprovoked,boarding,17.0,11,injured,NSW,-34.830278,150.7561,wobbegong,1.3408602150537634,"""leg, hand""",male,24.0,1900-01-01 13:00:00,Orectolobidae
2018,provoked,spearfishing,18.0,11,injured,NT,-12.1825,136.7819,whaler shark,2.2,"""arm, leg""",male,17.0,1900-01-01 10:00:00,Carcharhinidae
2018,unprovoked,boarding,11.0,11,injured,WA,-32.6036,115.6304,grey nurse shark,1.8666666666666665,foot,male,20.0,1900-01-01 09:00:00,Carcharius taurus
2018,unprovoked,unknown,9.0,12,injured,NSW,-30.643181,153.008839,unknown species,1.9428571428571428,Unknown,unknown,,,Unknown species
2018,provoked,swimming,15.0,12,injured,NSW,-33.425018,151.342224,wobbeogong,1.0,left foot,male,64.5,1900-01-01 11:00:00,Orectolobidae
